Player,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PTS,Cluster
Aaron Gordon\gordoaa01,58,1909,7.1,16.3,0.434,2.2,6.4,0.336,4.9,9.9,0.497,3.0,4.2,0.698,1.6,7.0,2.6,1.1,0.8,2.0,19.3,0
Al Horford\horfoal01,72,2277,5.8,11.9,0.489,1.5,3.6,0.429,4.3,8.3,0.514,1.5,1.9,0.783,1.6,6.8,5.4,0.7,1.2,2.1,14.7,0
Al-Farouq Aminu\aminual01,69,2072,4.0,10.1,0.395,2.2,5.9,0.369,1.8,4.2,0.432,1.0,1.4,0.738,1.7,7.4,1.5,1.4,0.7,1.4,11.2,0
Alec Burks\burksal01,64,1059,5.8,14.1,0.411,1.6,4.8,0.331,4.2,9.2,0.452,3.6,4.2,0.863,0.6,5.9,2.3,1.3,0.3,2.0,16.8,2
Alex Abrines\abrinal01,75,1134,3.7,9.2,0.395,2.7,7.0,0.38,1.0,2.2,0.443,1.2,1.5,0.848,0.8,2.8,0.9,1.2,0.3,0.8,11.2,2
Alex Len\lenal01,69,1395,5.5,9.8,0.566,0.0,0.1,0.333,5.5,9.7,0.568,4.1,6.0,0.684,4.5,8.9,2.1,0.7,1.6,2.0,15.1,2
Allen Crabbe\crabbal01,75,2197,5.5,13.6,0.407,3.3,8.7,0.378,2.2,4.8,0.461,1.9,2.2,0.852,0.5,4.9,1.9,0.8,0.6,1.3,16.2,0
Amir Johnson\johnsam01,74,1171,4.3,8.0,0.538,0.3,1.0,0.313,4.0,7.0,0.57,1.6,2.6,0.612,3.8,6.4,3.6,1.4,1.4,1.7,10.5,2
Andre Drummond\drumman01,78,2625,6.4,12.1,0.529,0.0,0.2,0.0,6.4,11.9,0.536,3.3,5.4,0.605,5.5,11.6,3.3,1.6,1.7,2.7,16.1,0
Andre Iguodala\iguodan01,64,1622,3.3,7.1,0.463,0.7,2.6,0.282,2.6,4.5,0.567,1.2,1.9,0.632,1.1,4.4,4.7,1.2,0.8,1.5,8.5,2
Andre Roberson\roberan03,39,1037,3.0,5.6,0.537,0.3,1.2,0.222,2.7,4.4,0.627,0.4,1.3,0.316,2.6,3.8,1.6,1.6,1.2,1.0,6.7,2
Andrew Harrison\harrian01,56,1326,4.9,11.6,0.422,1.3,3.9,0.331,3.6,7.8,0.467,3.4,4.3,0.78,0.6,2.9,4.8,1.0,0.7,2.2,14.5,2
Andrew Wiggins\wiggian01,82,2979,6.9,15.7,0.438,1.4,4.1,0.331,5.5,11.6,0.475,2.4,3.8,0.643,1.0,3.3,1.9,1.1,0.6,1.7,17.5,1
Anthony Davis\davisan02,75,2727,10.3,19.3,0.534,0.7,2.1,0.34,9.6,17.2,0.558,6.5,7.9,0.828,2.5,8.5,2.3,1.5,2.5,2.1,27.9,0
Anthony Tolliver\tollian01,79,1757,4.5,9.7,0.464,3.3,7.5,0.436,1.2,2.2,0.561,2.2,2.7,0.797,1.0,3.9,1.8,0.7,0.4,1.2,14.4,2
